Date,Start,End,Description,Location,Alarms,Type
1/24/2026,3:30 PM,5:30 PM,HHS Baseball vs Holy Cross (Scrimmage),HHS,,Game
1/31/2026,11:00 AM,1:00 PM,HHS Baseball vs Jesuit (Scrimmage),HHS,,Game
2/5/2026,3:30 PM,5:30 PM,HHS Baseball vs Jamboree- Destrehan,"1 Wildcat Ln, Destrehan, LA 70047",,Game
2/10/2026,3:30 PM,5:30 PM,HHS Baseball vs St. Charles Catholic,HHS,,Game
2/11/2026,3:30 PM,5:30 PM,HHS Baseball vs Rummel,HHS,,Game
2/18/2026,4:00 PM,6:00 PM,HHS Baseball vs Rummel,"1901 Severn Ave, Metairie, LA 70001",,Game
2/23/2026,6:00 PM,8:00 PM,HHS Baseball vs Lutcher,"1910 W Main St, Lutcher, LA 70071",,Game
3/4/2026,5:30 PM,7:30 PM,HHS Baseball vs Jesuit,"100 Blue Jay Way, Metairie, LA 70001",,Game
3/9/2026,4:00 PM,6:00 PM,HHS Baseball vs Destrehan,"1 Wildcat Ln, Destrehan, LA 70047",,Game
3/11/2026,6:30 PM,8:30 PM,HHS Baseball vs St.Amant,"12035 LA-431, St Amant, LA 70774",,Game
3/14/2026,2:00 PM,4:00 PM,HHS Baseball vs Lakeshore,"26301 LA-1088, Mandeville, LA 70448",,Game
3/16/2026,4:00 PM,6:00 PM,HHS Baseball vs Ed White,"555 Cardinal Dr, Thibodaux, LA 70301",,Game
3/19/2026,7:00 PM,9:00 PM,HHS Baseball vs Destrehan (Rec Night),"13825 River Rd, Luling, LA 70070",,Game
3/21/2026,11:00 AM,1:00 PM,HHS Baseball vs Vanderbilt Catholic,"209 S Hollywood Rd, Houma, LA 70360",,Game
3/23/2026,4:00 PM,6:00 PM,HHS Baseball vs Hl Bourgeois,"1 Reservation Ct, Gray, LA 70359",,Game
3/31/2026,6:00 PM,8:00 PM,HHS Baseball vs Thibodaux,"1355 Tiger Dr, Thibodaux, LA 70301",,Game
4/4/2026,11:00 AM,1:00 PM,HHS Baseball vs Central Lafourche,HHS,,Game
4/11/2026,11:00 AM,1:00 PM,HHS Baseball vs Belle Chase,HHS,,Game
