Date,Start,End,Description,Location,Alarms,Type
1/29/2026,4:30 PM,6:30 PM,HHS Baseball vs Central Lafourche (Scrimmage),"4820 LA-1, Raceland, LA 70394",,Game
2/6/2026,3:30 PM,5:30 PM,HHS Baseball vs Jamboree- Destrehan,HHS,,Game
2/10/2026,4:00 PM,6:00 PM,HHS Baseball vs Rummel,"1901 Severn Ave, Metairie, LA 70001",,Game
2/23/2026,4:00 PM,6:00 PM,HHS Baseball vs Lutcher,"1910 W Main St, Lutcher, LA 70071",,Game
2/25/2026,3:30 PM,5:30 PM,HHS Baseball vs Rummel,HHS,,Game
3/4/2026,4:00 PM,6:00 PM,HHS Baseball vs Lutcher,HHS,,Game
3/9/2026,4:00 PM,6:00 PM,HHS Baseball vs Ed White,"555 Cardinal Dr, Thibodaux, LA 70301",,Game
3/10/2026,4:00 PM,6:00 PM,HHS Baseball vs Covenant Christian,HHS,,Game
3/11/2026,4:30 PM,6:30 PM,HHS Baseball vs St. Amant,"12035 LA-431, St Amant, LA 70774",,Game
3/16/2026,4:00 PM,6:00 PM,HHS Baseball vs Destrehan,HHS,,Game
3/17/2026,4:30 PM,6:30 PM,HHS Baseball vs Jesuit,HHS,,Game
3/19/2026,5:00 PM,7:00 PM,HHS Baseball vs Destrehan (Rec Night),"13825 River Rd, Luling, LA 70070",,Game
3/23/2026,4:00 PM,6:00 PM,HHS Baseball vs Ed White,HHS,,Game
3/28/2026,1:00 PM,3:00 PM,HHS Baseball vs St Charles Catholic,HHS,,Game
3/30/2026,4:00 PM,6:00 PM,HHS Baseball vs Thibodaux,HHS,,Game
4/1/2026,4:00 PM,6:00 PM,HHS Baseball vs Shaw,"1000 Salesian Ln, Marrero, LA 70072",,Game
4/10/2026,4:00 PM,6:00 PM,HHS Baseball vs Shaw,HHS,,Game
