Date,Start,End,Description,Location,Alarms,Type
1/24/2026,1:00 PM,3:00 PM,HHS Baseball vs Holy Cross (Scrimmage),HHS,,Game
1/30/2026,,,HHS Baseball vs Umpires Scrimmage ,MILEY,,Game
1/31/2026,1:00 PM,3:00 PM,HHS Baseball vs Jesuit (Scrimmage),HHS,,Game
2/9/2026,3:30 PM,5:30 PM,HHS Baseball vs Rummel,HHS,,Game
2/12/2026,3:30 PM,5:30 PM,HHS Baseball vs Walker,HHS,,Game
2/13/2026,5:00 PM,7:00 PM,HHS Baseball vs East Ascension,"612 E Worthey Rd, Gonzales, LA 70737",,Game
2/14/2026,10:00 PM,12:00 AM,HHS Baseball vs Riverside,HHS,,Game
2/14/2026,3:00 PM,5:00 PM,HHS Baseball vs Dutchtown,HHS,,Game
2/16/2026,6:00 PM,8:00 PM,HHS Baseball vs Dutchtown,"13165 LA-73, Geismar, LA 70734",,Game
2/19/2026,6:15 PM,8:15 PM,HHS Baseball vs Ruston,"900 Bearcat Dr, Ruston, LA 71270",,Game
2/20/2026,6:15 PM,8:15 PM,HHS Baseball vs Neville,"600 Forsythe Ave, Monroe, LA 71201",,Game
2/21/2026,10:00 PM,12:00 AM,HHS Baseball vs University,"3300 Westminster Ave, Monroe, LA 71201",,Game
2/24/2026,5:00 PM,7:00 PM,HHS Baseball vs Chalmette,"1100 E Judge Perez Dr, Chalmette, LA 70043",,Game
2/27/2026,4:00 PM,6:00 PM,HHS Baseball vs Dunham,"612 E Worthey Rd, Gonzales, LA 70737",,Game
2/28/2026,12:30 PM,2:30 PM,HHS Baseball vs Zachary,"4100 School St, Zachary, LA 70791",,Game
2/28/2026,3:00 PM,5:00 PM,HHS Baseball vs Denham Springs,"4100 School St, Zachary, LA 70791",,Game
3/3/2026,3:30 PM,5:30 PM,HHS Baseball vs South Terrebonne,"3879 LA-24, Bourg, LA 70343",,Game
3/5/2026,6:00 PM,8:00 PM,HHS Baseball vs Hanson Memorial,"903 Anderson St, Franklin, LA 70538",,Game
3/6/2026,3:30 PM,5:30 PM,HHS Baseball vs Brother Martin,HHS,,Game
3/7/2026,8:30 PM,10:30 PM,HHS Baseball vs Covenant Christian,HHS,,Game
3/7/2026,4:00 PM,6:00 PM,HHS Baseball vs Peabody,HHS,,Game
3/12/2026,4:00 PM,6:00 PM,HHS Baseball vs St Amant,HHS,,Game
3/13/2026,4:00 PM,6:00 PM,HHS Baseball vs Lakeshore,HHS,,Game
3/14/2026,11:00 PM,1:00 AM,HHS Baseball vs Lakeshore,"26301 LA-1088, Mandeville, LA 70448",,Game
3/18/2026,4:00 PM,6:00 PM,HHS Baseball vs St Augustine,HHS,,Game
3/20/2026,4:00 PM,6:00 PM,HHS Baseball vs Vanderbilt Catholic,HHS,,Game
3/21/2026,1:30 PM,3:30 PM,HHS Baseball vs Vandebilt Catholic,"209 S Hollywood Rd, Houma, LA 70360",,Game
3/24/2026,3:30 PM,5:30 PM,HHS Baseball vs Hl Bourgeois (District),HHS,,Game
3/25/2026,4:00 PM,6:00 PM,HHS Baseball vs Parkview Baptist,HHS,,Game
3/27/2026,6:00 PM,8:00 PM,HHS Baseball vs Parkview Baptist,"5750 Parkview Church Rd, Baton Rouge, LA 70816",,Game
3/28/2026,1:00 PM,3:00 PM,HHS Baseball vs East St John (District),"3000 Airline Hwy Service Rd, Baton Rouge, LA 70001",,Game
3/31/2026,4:00 PM,6:00 PM,HHS Baseball vs Thibodaux (District),"1355 Tiger Dr, Thibodaux, LA 70301",,Game
4/1/2026,4:00 PM,6:00 PM,"HHS Baseball vs Central Lafourche (Senior Salute, District)",HHS,,Game
4/2/2026,4:00 PM,6:00 PM,HHS Baseball vs Terrebonne (District),"7318 W Main St, Houma, LA 70360",,Game
4/7/2026,4:00 PM,6:00 PM,HHS Baseball vs Destrehan (District),"1 Wildcat Ln, Destrehan, LA 70047",,Game
4/9/2026,4:00 PM,6:00 PM,HHS Baseball vs Destrehan,HHS,,Game
4/11/2026,1:00 PM,3:00 PM,HHS Baseball vs Belle Chase,HHS,,Game
