Date,Start,End,Description,Location,Alarms,Type
8/18/2025,14:30,17:30,HHS Volleyball - Practice + W,HHS,,
8/19/2025,14:30,16:30,HHS Volleyball - Practice,HHS,,
8/20/2025,14:30,16:30,HHS Volleyball - Practice,HHS,,
8/21/2025,16:30,17:30,HHS Volleyball - East Ascension ,"612 E Worthy St, Gonzales, LA 70737","-1:00,-2:00",Game
8/21/2025,17:30,18:30,HHS Volleyball - Dunham,"612 E Worthy St, Gonzales, LA 70737","-1:00,-2:00",Game
8/22/2025,14:30,16:30,HHS Volleyball - Inner-Squad Scrimmage,HHS,"-1:00,-2:00",Game
8/25/2025,14:30,17:30,HHS Volleyball - Practice + W,HHS,,
8/26/2025,14:15,14:45,HHS Volleyball - Pre-game meal (bring your own),HHS,,
8/26/2025,14:45,15:00,HHS Volleyball - Dress and Gym Setup,HHS,,
8/26/2025,15:00,15:45,HHS Volleyball - Stretch and Pre-game touches (serve & serve receive),HHS,,
8/26/2025,16:30,17:30,HHS Volleyball - JV - Scrimmage vs CCA (2 Sets),HHS,,Game
8/26/2025,17:30,15:30,HHS Volleyball - V - Scrimmage vs CCA (3 Sets),HHS,,Game
8/27/2025,14:30,16:30,HHS Volleyball - Practice,HHS,,
8/28/2025,14:30,17:30,HHS Volleyball - Practice + W,HHS,,
8/29/2025,14:30,16:30,HHS Volleyball - Practice,HHS,,
9/1/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/2/2025,14:15,14:45,HHS Volleyball - Pre-game meal (bring your own),HHS,,
9/2/2025,14:45,15:00,HHS Volleyball - Dress and Gym Setup,HHS,,
9/2/2025,15:00,15:45,HHS Volleyball - Stretch and Pre-game touches (serve & serve receive),HHS,,
9/2/2025,16:30,17:30,HHS Volleyball - Freshman - Scrimmage vs Newman,HHS,,Game
9/2/2025,17:30,18:30,HHS Volleyball - JV - Scrimmage vs Newman,HHS,,Game
9/2/2025,18:30,19:30,HHS Volleyball - V - Scrimmage vs Newman,HHS,,Game
9/3/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice,HHS,,
9/4/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/5/2025,14:30,15:00,HHS Volleyball - Pre-game meal & Dress,HHS,,
9/5/2025,15:00,17:00,HHS Volleyball - Depart/Travel,HHS,,
9/5/2025,17:00,18:00,HHS Volleyball - V vs Baton Rouge,"16266 S Harrells Ferry Rd, Baton Rouge",,Game
9/5/2025,19:00,20:00,HHS Volleyball - V vs John Curtis,"16266 S Harrells Ferry Rd, Baton Rouge",,Game
9/6/2025,8:45,9:00,HHS Volleyball - Locker Room,HHS,,
9/6/2025,9:00,11:00,HHS Volleyball - Depart/Travel,HHS,,
9/6/2025,11:00,12:00,HHS Volleyball - V vs Live Oak,"16266 S Harrells Ferry Rd, Baton Rouge",,Game
9/6/2025,13:00,14:00,HHS Volleyball - V vs St Martinville,"16266 S Harrells Ferry Rd, Baton Rouge",,Game
9/8/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/9/2025,5:00 PM,,"HHS Volleyball - @ Dunham (JV,V)",Dunham,,Game
9/10/2025,4:30 PM,,"HHS Volleyball - Vs Assumption (F,JV,V)",HHS,,Game
9/11/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/12/2025,,,HHS Volleyball - Dutchtown Tournament (V),HHS,,Game
9/13/2025,,,HHS Volleyball - Assumption T (F),HHS,,Game
9/15/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/16/2025,4:00 PM,,"HHS Volleyball - @ Lutcher (F,JV,V)",Lutcher,,Game
9/17/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice,HHS,,
9/18/2025,4:30 PM,,"HHS Volleyball - Vs Mt Carmel (JV,V)",HHS,,Game
9/19/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice + W,HHS,,
9/22/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/23/2025,4:30 PM,,"HHS Volleyball - Vs Lakeshore (JV,V)",HHS,,Game
9/24/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice,HHS,,
9/25/2025,4:30 PM,,"HHS Volleyball - @ Chapelle (JV,V)",Chapelle,,Game
9/26/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice + W,HHS,,
9/29/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
9/30/2025,4:30 PM,,"HHS Volleyball - Vs S Lafourche (F,JV,V)",HHS,,Game
10/1/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice,HHS,,
10/2/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
10/3/2025,,,HHS Volleyball - CCA Tournament @ Houma CC (V),Houma CC,,Game
10/4/2025,,,HHS Volleyball - CCA Tournament @ Houma CC (V),Houma CC,,Game
10/6/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
10/7/2025,4:30 PM,,"HHS Volleyball - Vs Northshore (JV, V)",HHS,,Game
10/8/2025,4:30 PM,,"HHS Volleyball - Vs NL Christian (JV, V)",HHS,,Game
10/9/2025,2:30 PM,4:00 PM,HHS Volleyball - Practice + W,HHS,,
10/13/2025,6:30 PM,9:30 PM,HHS Volleyball - Practice + W,HHS,,
10/14/2025,4:00 PM,,"HHS Volleyball - @ Terrebonne (F, JV, V)",Terrebonne,,Game
10/15/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice + W,HHS,,
10/16/2025,4:30 PM,,"HHS Volleyball - Vs C Lafourche (F, JV, V)",HHS,,Game
10/17/2025,,,HHS Volleyball - Newman Invitational (V),HHS,,Game
10/18/2025,,,HHS Volleyball - Newman Invitational (V),HHS,,Game
10/20/2025,2:30 PM,5:30 PM,HHS Volleyball - Practice + W,HHS,,
10/21/2025,2:30 PM,4:30 PM,HHS Volleyball - Practice,HHS,,
10/22/2025,4:30 PM,,"HHS Volleyball - @ Berwick (JV, V)",Berwick,,Game
10/23/2025,4:00 PM,,"HHS Volleyball - @ H L Bourgeois (JV, V)",H L Bourgeois,,Game
