Date,Start,End,Description,Location
8/4/2025,4:00 PM,5:15 PM,HHS Baseball - Lift,HHS
8/5/2025,4:00 PM,5:15 PM,HHS Baseball - Lift,HHS
8/7/2025,4:00 PM,5:15 PM,HHS Baseball - Lift,HHS
8/11/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
8/12/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS
8/14/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
8/18/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
8/19/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS
8/20/2025,2:30 PM,3:45 PM,HHS Baseball - Catching ,HHS
8/21/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
8/25/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
8/25/2025,6:00 PM,7:15 PM,HHS Baseball - Parent Meeting,HHS
8/26/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS
8/27/2025,2:30 PM,3:45 PM,HHS Baseball - Catching,HHS
8/28/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS
